lemma,count
school,20
manager,17
service,10
oil,10
demand,9
belief,7
work,7
change,6
nursing,6
production,5
fact,5
care,5
cope,5
use,4
money,4
government,4
--,4
letter,4
right,4
student,4
export,3
strategy,3
action,3
wage,3
water,3
environment,3
information,3
labor,3
effort,3
management,3
statement,3
career,3
surrender,3
withdrawal,3
access,3
living,2
state,2
policy,2
goal,2
investigation,2
"",2
curriculum,2
challenge,2
education,2
think,2
accountability,2
interest,2
ability,2
research,2
family,2
cost,2
end,2
censorship,2
graduate,2
representation,2
finding,2
improvement,2
country,2
obedience,2
colleague,2
skill,2
obligation,2
multiple,2
leather,2
issue,2
autonomy,2
war,2
training,2
house,2
program,2
intellectual,2
role,2
response,2
power,2
need,2
woman,2
increase,2
position,2
forest,2
misunderstanding,2
clarification,2
attention,2
entrance,1
professional,1
deal,1
documentation,1
study,1
process,1
nitrite,1
pullout,1
immigration,1
researcher,1
inclusion,1
inequality,1
engagement,1
range,1
soldier,1
background,1
call,1
aid,1
boss,1
word,1
advertising,1
piece,1
casket,1
shape,1
demolition,1
telephone,1
seafarer,1
stage,1
treatment,1
content,1
instigator,1
structure,1
integrity,1
supply,1
king,1
predictor,1
quota,1
relief,1
reverse,1
discovery,1
overall,1
graphics,1
application,1
ammonia,1
coach,1
play,1
health,1
travers,1
crime,1
concern,1
trusteeship,1
partner,1
alliance,1
womanhood,1
man,1
pentagon,1
hiker,1
aspiration,1
funeral,1
scene,1
prowess,1
life,1
dub,1
indian,1
group,1
waste,1
dig,1
performer,1
explanation,1
regime,1
reader,1
errand,1
trend,1
import,1
library,1
overtime,1
housework,1
counselor,1
competition,1
inviolability,1
distributor,1
market,1
flag,1
recognition,1
control,1
electricity,1
public,1
criminal,1
ethnicity,1
bishop,1
theory,1
animal,1
function,1
event,1
productivity,1
youngster,1
offer,1
pressure,1
horn,1
movement,1
film,1
camaraderie,1
good,1
side,1
land,1
dean,1
compliance,1
giroux,1
settlement,1
consumer,1
friend,1
question,1
journalist,1
censor,1
clan,1
condition,1
choice,1
sociality,1
contract,1
id,1
answer,1
producer,1
pass,1
servant,1
termination,1
game,1
center,1
data,1
college,1
patience,1
expense,1
energy,1
german,1
resort,1
double,1
threat,1
constituent,1
key,1
parenthood,1
caution,1
potato,1
invasion,1
clinician,1
participation,1
nature,1
community,1
misery,1
compensation,1
validation,1
chicken,1
offense,1
door,1
state-determined,1
item,1
middle,1
grandfather,1
resource,1
method,1
book,1
ski,1
point,1
photo,1
mailroom,1
theme,1
court,1
road,1
biology,1
presidency,1
permit,1
user,1
nanny,1
conflict,1
intensity,1
world,1
sovereignty,1
nation,1
board,1
concentration,1
differentiation,1
addition,1
audio,1
specialist-level,1
halt,1
growth,1
measure,1
situation,1
department,1
status,1
schooling,1
account,1
vitality,1
manpower,1
athlete,1
weapon,1
outcome,1
office,1
car,1
justice,1
part,1
citizen,1
offering,1
way,1
relevance,1
variable,1
chess,1
university,1
explorer,1
lazarus,1
troop,1
scrutiny,1
discipline,1
perception,1
brain,1
table,1
gas,1
interaction,1
length,1
industry,1
birth,1
counseling,1
bread,1
adolescence,1
vote,1
transfer,1
loyalty,1
gift,1
fashion,1
worker,1
sign,1
maintenance,1
task,1
prayer,1
sanction,1
affirmative,1
purpose,1
exclusion,1
lot,1
bank,1
phase,1
penance,1
apology,1
exercise,1
decision,1
material,1
performance,1
sentence,1
housing,1
neha,1
timber,1
jew,1
shop,1
speak,1
physician,1
context,1
theater,1
minority,1
price,1
window,1
teacher,1
requirement,1
voice,1
terrain,1
observer,1
pool,1
guideline,1
gender,1
firm,1
